"source","cible","code","type","groupe","hits","statut","origine"
"/fr/nouvelles/nomination-joanne-hurens/","https://www.victrix.ca/decouvrir-victrix/","301","url","Redirections","170","enabled","plugin Redirection"
"/fr/nouvelles/nomination-benoit-champagne/","https://www.victrix.ca/decouvrir-victrix/","301","url","Redirections","77","enabled","plugin Redirection"
"/fr/equipe-direction/patrick-scantland/","https://www.victrix.ca/decouvrir-victrix/","301","url","Redirections","12","enabled","plugin Redirection"
"/fr/equipe-direction/marco-vachon/","https://www.victrix.ca/decouvrir-victrix/","301","url","Redirections","496","enabled","plugin Redirection"
"/fr/solutions/guichet-reinitialisation-mot-de-passe/","https://www.victrix.ca/expertise/cybersecurite/","301","url","Redirections","349","enabled","plugin Redirection"
"/fr/solutions/plateforme-sociale-entreprise/","https://www.victrix.ca/expertise/productivite/plateforme-employe-intranet/","301","url","Redirections","643","enabled","plugin Redirection"
"/plateforme-experience-employe/","https://www.victrix.ca/expertise/productivite/plateforme-employe-intranet/","301","url","Redirections","52","enabled","plugin Redirection"
"/solution/studio/","/expertise/productivite/o-studio/","301","url","Redirections","2020","enabled","plugin Redirection"
"/solution/centre-operationnel-de-securite/","https://www.victrix.ca/expertise/cybersecurite/centre-operationnel-de-securite-evolutif/","301","url","Redirections","4144","enabled","plugin Redirection"
"/solution/migration/","/expertise/services-infonuagiques/migration-vers-azure/","301","url","Redirections","2732","enabled","plugin Redirection"
"/en/solution/migration/","https://www.victrix.ca/en/expertise/cloud-services-provider/azure-migration/","301","url","Redirections","2699","enabled","plugin Redirection"
"/en/solution/o-studio/","/en/expertise/productivity-consulting/o-studio/","301","url","Redirections","3025","enabled","plugin Redirection"
"/en/solution/scalable-security-operations-center/","/en/expertise/managed-security-service-provider/scalable-security-operations-center/","301","url","Redirections","3523","enabled","plugin Redirection"
"/expertise/productivite/plateforme-experience-employe/","https://www.victrix.ca/expertise/productivite/plateforme-employe-microsoft-viva-365/","301","url","Redirections","426","enabled","plugin Redirection"
"/o-studio/creation","https://o-studio-catalogue.victrix.ca/","301","url","Redirections","3","enabled","plugin Redirection"
"/solution/loi-25/","https://www.victrix.ca/expertise/loi-25-etes-vous-en-conformite/","301","url","Redirections","133","enabled","plugin Redirection"
"/expertise/securite-informatique/internet-des-objets-iot/","expertise/securite-informatique/internet-des-objets-service-iot/","301","url","Redirections","141","enabled","plugin Redirection"
