"type","id","langue","statut","titre","url","chemin","moteur","seo_title","seo_metadesc","noindex","traduction_id","auteur","date"
"page","2","fr","publish","Accueil","https://www.victrix.ca/","/","siteorigin","Cabinet Conseil TI, Cybersécurité, IA & Services Gérés | Victrix","Victrix est le cabinet conseil en TI, cybersécurité, IA, services gérés, cloud et développement d’applications sur mesure pour les secteurs public et privé.","","918","admin@victrix","2022-01-29 22:30:54"
"page","3","fr","publish","Politique de confidentialité","https://www.victrix.ca/politique-de-confidentialite/","/politique-de-confidentialite/","gutenberg","Politique de confidentialité | Vie privée | Victrix","Victrix : Politique de confidentialité et de non-divulgation qu l'utilisation et la divulguation des informations personnelles.","oui","2980","admin@victrix","2022-01-29 22:30:54"
"page","36","fr","publish","Conditions d'utilisation","https://www.victrix.ca/conditions-dutilisation/","/conditions-dutilisation/","html","Conditions d'utilisation | Table des matières | Victrix","Retrouvez les modalités d’utilisation du site Victrix. En vous connectant sur ce site, vous acceptez sans réserves les présentes modalités.","oui","2979","admin@victrix","2022-02-08 15:26:50"
"page","57","fr","publish","Découvrir Victrix","https://www.victrix.ca/decouvrir-victrix/","/decouvrir-victrix/","siteorigin","Découvrir Victrix | Histoire, missions, écosystème | Victrix","Découvrir Victrix: partenaire stratégique des grandes entreprises canadiennes. Cabinet spécialisé en cybersécurité, infonuagique et services gérés.","","2945","admin@victrix","2022-02-09 16:40:30"
"page","62","fr","publish","Contact","https://www.victrix.ca/contact/","/contact/","siteorigin","Contactez-nous | Parlez à nos experts | Victrix","Vous avez une question ou souhaitez démarrer un projet avec Victrix? Contactez-nous! Un expert vous recontactera dans les plus brefs délais.","","3526","admin@victrix","2022-02-09 16:41:58"
"page","64","fr","publish","Ressources","https://www.victrix.ca/ressources/","/ressources/","vide","Ressources | Articles | Témoignages | Études de cas | Victrix","Retrouvez toutes les actualités de Victrix et profitez de notre expertise via nos ressources: articles, études de cas, livres blancs, vidéos.","","2968","admin@victrix","2022-02-09 16:42:21"
"page","66","fr","publish","Portail client","https://www.victrix.ca/mon-portail/","/mon-portail/","siteorigin","Mon portail | Espace client | Victrix","Mon portail: connectez-vous à votre espace client Victrix et trouvez toutes les informations concernant votre compte.","","2973","admin@victrix","2022-02-09 16:42:57"
"page","483","fr","publish","Carrière","https://www.victrix.ca/carriere/","/carriere/","siteorigin","Offres d'emploi | Opportunités de carrière | Victrix","Découvrez les offres d'emploi chez Victrix. Le bien-être de notre personnel est notre priorité. Profitez d’un équilibre au travail et de nombreux avantages!","","2952","admin@victrix","2022-03-02 10:47:35"
"page","918","en","publish","Home","https://www.victrix.ca/en/","/en/","siteorigin","IT Consulting, Cybersecurity, AI & Managed Services | Victrix","Victrix is the IT, cybersecurity, AI, managed services, cloud and custom application development consultancy for the public and private sectors.","","2","admin@victrix","2022-03-06 02:23:47"
"page","2798","fr","publish","Accès interdit","https://www.victrix.ca/no-access/","/no-access/","shortcode-seul","","","oui","2977","admin@victrix","2022-05-06 23:51:20"
