"id","url","extension","titre","parent_id","date"
"16","https://www.victrix.ca/wp-content/uploads/2022/02/logo.png","png","Logo","2","2022-02-01 16:39:49"
"148","https://www.victrix.ca/wp-content/uploads/2022/02/apropovictrix.png","png","apropoVictrix","2","2022-02-16 00:39:22"
"174","https://www.victrix.ca/wp-content/uploads/2022/02/istock-1299730469-1.png","png","concept digital sécurité","2","2022-02-17 15:31:04"
"2578","https://www.victrix.ca/wp-content/uploads/2022/04/home-a-propos.jpg","jpg","À propos de Victrix","2","2022-04-26 17:15:57"
"2733","https://www.victrix.ca/wp-content/uploads/2022/05/icon-search.svg","svg","icon-search","2","2022-05-06 15:52:20"
"2754","https://www.victrix.ca/wp-content/uploads/2022/05/logo-imprivata.svg","svg","logo-imprivata","2","2022-05-06 16:05:25"
"2755","https://www.victrix.ca/wp-content/uploads/2022/05/logo-microsoft.svg","svg","logo-microsoft","2","2022-05-06 16:05:47"
"2757","https://www.victrix.ca/wp-content/uploads/2022/05/logo-cisco.svg","svg","logo-cisco","2","2022-05-06 16:06:44"
"2760","https://www.victrix.ca/wp-content/uploads/2022/05/logo-crowdstrike.svg","svg","logo-crowdstrike","2","2022-05-06 16:12:01"
"2763","https://www.victrix.ca/wp-content/uploads/2022/05/logo-paloalto.svg","svg","logo-paloalto","2","2022-05-06 16:13:44"
"2764","https://www.victrix.ca/wp-content/uploads/2022/05/logo-aruba.svg","svg","logo-aruba","2","2022-05-06 16:16:37"
"2765","https://www.victrix.ca/wp-content/uploads/2022/05/logo-pulse-secure.svg","svg","logo-pulse-secure","2","2022-05-06 16:17:45"
"2766","https://www.victrix.ca/wp-content/uploads/2022/05/logo-checkpoint.svg","svg","logo-checkpoint","2","2022-05-06 16:18:42"
"2548","https://www.victrix.ca/wp-content/uploads/2022/04/decouvrir-intro.png","png","decouvrir-intro","57","2022-04-26 16:50:55"
"3127","https://www.victrix.ca/wp-content/uploads/2022/05/portrait-temoignage-1.png","png","portrait-temoignage-1","57","2022-05-10 13:58:15"
"3128","https://www.victrix.ca/wp-content/uploads/2022/05/portrait-temoignage-2.png","png","portrait-temoignage-2","57","2022-05-10 13:58:23"
"3383","https://www.victrix.ca/wp-content/uploads/2022/05/istock-1028705006-scaled.jpg","jpg","vie-chez-victrix","483","2022-05-19 16:33:44"
"3390","https://www.victrix.ca/wp-content/uploads/2022/05/istock-996082438-scaled.jpg","jpg","","57","2022-05-19 16:36:37"
"3495","https://www.victrix.ca/wp-content/uploads/2022/06/mappemonde-2022_bleu-2.png","png","MAPPEMONDE 2022_BLEU 2","57","2022-06-16 11:08:16"
"3496","https://www.victrix.ca/wp-content/uploads/2022/06/alan-allman-associates-2022.png","png","Victrix est membre de l'écosystème international Alan Allman Associates","57","2022-06-16 11:10:13"
"4054","https://www.victrix.ca/wp-content/uploads/2022/11/victrix-est-expert-en-solutions-de-cybersecurite-de-productivite-et-de-services-geres-scaled.jpg","jpg","Telecommunication connections above smart city. Futuristic cityscape concept for internet of things (IoT), fintech, blockchain, 5G LTE network, wifi hotspot access, cyber security, digital technology","2","2022-11-07 22:05:55"
"4179","https://www.victrix.ca/wp-content/uploads/2023/01/plan-de-travail-24x.png","png","ecosysteme alan allman associates","57","2023-01-18 16:37:41"
"5287","https://www.victrix.ca/wp-content/uploads/2023/07/banniere_victrix-lambda-1-e1688581178101.jpg","jpg","banniere_victrix-lambda","2","2023-07-05 20:15:57"
"5310","https://www.victrix.ca/wp-content/uploads/2023/07/banniere-lambda_victrix_1000-copie.jpg","jpg","Bannière LAMBDA_VICTRIX_1000 copie","2","2023-07-07 11:25:33"
"5902","https://www.victrix.ca/wp-content/uploads/2023/11/logo_ovh.png","png","Logo_OVH","2","2023-11-01 20:05:12"
"5903","https://www.victrix.ca/wp-content/uploads/2023/11/service-now-logo.png","png","service-now-logo","2","2023-11-01 20:05:17"
"5947","https://www.victrix.ca/wp-content/uploads/2023/11/victrix_certifie_iso.png","png","victrix_certifie_iso","2","2023-11-06 21:32:57"
"6170","https://www.victrix.ca/wp-content/uploads/2024/01/galaxie-alan-allman-associates-png.png","png","Galaxie Alan Allman Associates - png","57","2024-01-18 15:58:14"
"6172","https://www.victrix.ca/wp-content/uploads/2024/01/galaxie-v12-bleu-scaled.jpg","jpg","Galaxie V12 - bleu","57","2024-01-18 15:59:15"
"6177","https://www.victrix.ca/wp-content/uploads/2024/01/video-soiree-victrix-v8_d0lbzknw.mp4","mp4","video-soiree-victrix-v8_d0LbzKnw","2","2024-01-24 00:24:44"
"6178","https://www.victrix.ca/wp-content/uploads/2024/01/video-soiree-victrix_v8_2.mp4","mp4","VIDÉO SOIRÉE VICTRIX_V8_2","2","2024-01-24 17:54:50"
"6330","https://www.victrix.ca/wp-content/uploads/2024/06/2560px-logo_cegep_de_la_pocatiere-svg.png","png","2560px-Logo_Cégep_de_La_Pocatière.svg","483","2024-06-07 18:05:06"
"6331","https://www.victrix.ca/wp-content/uploads/2024/06/logo.png","png","logo","483","2024-06-07 18:06:08"
"4990","https://www.victrix.ca/wp-content/uploads/2023/06/victrix.png","png","Améliorez votre cybersécurité avec Victrix","4989","2023-06-06 16:25:17"
"5013","https://www.victrix.ca/wp-content/uploads/2023/06/image-06-06-2023-a-16-37.jpg","jpg","SEvOC infographic in circle","4989","2023-06-06 16:37:52"
